site_id,method,mean_cpue,total_count,effort_hours
R-003,vertical_line,112.2,187,1.6666666666666667
R-005,diver,28.615384615384617,31,1.0833333333333333
R-007,vertical_line,24.857142857142854,29,1.1666666666666667
R-001,vertical_line,24.0,24,1.0
R-009,diver,20.32258064516129,21,1.0333333333333334
R-011,camera,19.655172413793103,19,0.9666666666666667
R-004,camera,18.0,12,0.6666666666666666
R-010,camera,17.5,14,0.8
R-011,vertical_line,15.9375,17,1.0666666666666667
R-002,camera,12.0,9,0.75
R-001,camera,11.454545454545455,21,1.8333333333333333
R-008,camera,10.285714285714285,6,0.5833333333333334
R-006,camera,2.181818181818182,2,0.9166666666666666
