receiver_id,site_id,deployment_date,retrieval_date,detection_count,uptime_percent
RX-01,R-001,2025-05-01,2025-09-30,410,91
RX-02,R-002,2025-05-03,2025-09-30,185,88
RX-03,R-003,2025-05-15,2025-09-30,352,86
RX-04,R-004,2025-05-20,2025-09-30,104,72
RX-05,R-005,2025-06-01,2025-09-30,422,95
RX-06,R-006,2025-06-04,2025-09-30,167,69
RX-07,R-007,2025-06-12,2025-09-30,398,92
RX-08,R-008,2025-06-14,2025-09-30,88,58
RX-09,R-009,2025-07-01,2025-09-30,260,83
RX-10,R-010,2025-07-05,2025-06-20,201,80
RX-11,R-011,2025-07-12,2025-09-30,314,90
